tree_hash,internal_nodes,topology,mask,enabled_nodes,projected_error,ambient_error
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,24,2,0.010000000000000009,0.010000000000000009
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,25,3,0.009949874371066203,0.09850380703302793
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,26,3,0.009949874371066203,0.09850380703302793
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,27,4,0.01970000000000005,0.19601002525381198
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,28,3,0.009949874371066203,0.09850380703302793
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,29,4,0.01970000000000005,0.19601002525381198
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,30,4,0.01970000000000005,0.19601002525381198
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,31,5,0.03910300627829011,0.29270369232382437
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,0,0,0.0,0.0
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,1,1,0.0,0.1
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,2,1,0.0,0.1
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,3,2,0.010000000000000009,0.19924858845171275
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,4,1,0.0,0.0
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,5,2,0.0,0.099498743710662
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,6,2,0.0,0.099498743710662
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,7,3,0.009949874371066203,0.19824984237068136
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,8,1,0.0,0.0
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,9,2,0.0,0.099498743710662
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,10,2,0.0,0.099498743710662
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,11,3,0.009949874371066203,0.19824984237068136
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,12,2,0.0,0.0
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,13,3,0.0,0.099
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,14,3,0.0,0.099
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,15,4,0.009899999999999909,0.19725610256719564
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,16,1,0.0,0.0
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,17,2,0.0,0.099498743710662
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,18,2,0.0,0.099498743710662
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,19,3,0.009949874371066203,0.19824984237068136
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,20,2,0.0,0.0
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,21,3,0.0,0.099
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,22,3,0.0,0.099
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,23,4,0.009899999999999909,0.19725610256719564
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,24,2,0.0,0.0
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,25,3,0.0,0.099
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,26,3,0.0,0.099
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,27,4,0.00990000000000002,0.19725610256719564
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,28,3,0.0,0.0
