scientific_instance_hash,tree_hash,bound_family,bound,ratio_to_homogeneous
2bfcfc359b760c2954d33958875c0db36a081b7349bfc2c2b687f774bf86fe1a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.012525000000000001,0.33399999999999996
2bfcfc359b760c2954d33958875c0db36a081b7349bfc2c2b687f774bf86fe1a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.012525000000000001,0.33399999999999996
2bfcfc359b760c2954d33958875c0db36a081b7349bfc2c2b687f774bf86fe1a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.012537500000000002,0.3343333333333333
2bfcfc359b760c2954d33958875c0db36a081b7349bfc2c2b687f774bf86fe1a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.012525000000000001,0.33399999999999996
178d4e8d35f7198ced88e458444d62fad8d5585913bf21b9c5aeaa158ba9f59b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.037500000000000006,1.0
178d4e8d35f7198ced88e458444d62fad8d5585913bf21b9c5aeaa158ba9f59b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.0250125,0.6669999999999999
178d4e8d35f7198ced88e458444d62fad8d5585913bf21b9c5aeaa158ba9f59b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.0250125,0.6669999999999999
178d4e8d35f7198ced88e458444d62fad8d5585913bf21b9c5aeaa158ba9f59b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.037512500000000004,1.0003333333333333
178d4e8d35f7198ced88e458444d62fad8d5585913bf21b9c5aeaa158ba9f59b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.0250125,0.6669999999999999
2f4af957d4fe66365a2d6693bb005f0c4d0b423040cbb6303ee68caa04ff2be8,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.1875,1.0
2f4af957d4fe66365a2d6693bb005f0c4d0b423040cbb6303ee68caa04ff2be8,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.1875,1.0
2f4af957d4fe66365a2d6693bb005f0c4d0b423040cbb6303ee68caa04ff2be8,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.1875,1.0
2f4af957d4fe66365a2d6693bb005f0c4d0b423040cbb6303ee68caa04ff2be8,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.25,1.3333333333333333
2f4af957d4fe66365a2d6693bb005f0c4d0b423040cbb6303ee68caa04ff2be8,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.1875,1.0
44185bcb978210b1ff35aeac71df61dded54386af3719f699c4861490cdac032,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.1875,1.0
44185bcb978210b1ff35aeac71df61dded54386af3719f699c4861490cdac032,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.062625,0.334
44185bcb978210b1ff35aeac71df61dded54386af3719f699c4861490cdac032,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.062625,0.334
44185bcb978210b1ff35aeac71df61dded54386af3719f699c4861490cdac032,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.0626875,0.3343333333333333
44185bcb978210b1ff35aeac71df61dded54386af3719f699c4861490cdac032,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.062625,0.334
ff86f067c01505f4d38b982767ba679145db79732d7cf5fe92d282fb23293d7b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.1875,1.0
ff86f067c01505f4d38b982767ba679145db79732d7cf5fe92d282fb23293d7b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.06262499999999999,0.3339999999999999
