extremizer_id,tree_hash,eta,dimension,projector_rank,construction,error_type,certified_ratio_lower,certified_ratio_upper,tensor_formula,status
df9758a1b385ab0f6ec937e5dcae1635546ecd9191be1f3ac0070d33436ebc57,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.5,3,1,gated_planar_rotation_embedded,ambient,0.8660254037844386,0.8660254037844386,rotation_tensor,CERTIFIED_LOWER_BOUND
df9758a1b385ab0f6ec937e5dcae1635546ecd9191be1f3ac0070d33436ebc57,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.5,3,1,gated_planar_rotation_embedded,projected,0.0,4.1053665947016125e-48,rotation_tensor,CERTIFIED_LOWER_BOUND
df9758a1b385ab0f6ec937e5dcae1635546ecd9191be1f3ac0070d33436ebc57,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.5,3,1,gated_planar_rotation_embedded,normal,0.8660254037844386,0.8660254037844386,rotation_tensor,CERTIFIED_LOWER_BOUND
2e06286707887ba3a4f370867ece2855157e933b1aeae9b33957daa11ef10426,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.5,3,2,gated_planar_rotation_embedded,ambient,0.8660254037844386,0.8660254037844386,rotation_tensor,CERTIFIED_LOWER_BOUND
2e06286707887ba3a4f370867ece2855157e933b1aeae9b33957daa11ef10426,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.5,3,2,gated_planar_rotation_embedded,projected,0.0,4.1053665947016125e-48,rotation_tensor,CERTIFIED_LOWER_BOUND
2e06286707887ba3a4f370867ece2855157e933b1aeae9b33957daa11ef10426,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,0.5,3,2,gated_planar_rotation_embedded,normal,0.8660254037844386,0.8660254037844386,rotation_tensor,CERTIFIED_LOWER_BOUND
b5398f5a619af5f71d68f4824de6c3391b21730b43cd1f278215cbebdfe3480f,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,1.0,2,1,gated_planar_rotation_embedded,ambient,0.0,0.0,rotation_tensor,CERTIFIED_LOWER_BOUND
b5398f5a619af5f71d68f4824de6c3391b21730b43cd1f278215cbebdfe3480f,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,1.0,2,1,gated_planar_rotation_embedded,projected,0.0,0.0,rotation_tensor,CERTIFIED_LOWER_BOUND
b5398f5a619af5f71d68f4824de6c3391b21730b43cd1f278215cbebdfe3480f,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,1.0,2,1,gated_planar_rotation_embedded,normal,0.0,0.0,rotation_tensor,CERTIFIED_LOWER_BOUND
950a4505618f9748fa24d574d86ebca38b8d100397717705e8ac1c817dfc481d,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,1.0,3,1,gated_planar_rotation_embedded,ambient,0.0,0.0,rotation_tensor,CERTIFIED_LOWER_BOUND
950a4505618f9748fa24d574d86ebca38b8d100397717705e8ac1c817dfc481d,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,1.0,3,1,gated_planar_rotation_embedded,projected,0.0,0.0,rotation_tensor,CERTIFIED_LOWER_BOUND
950a4505618f9748fa24d574d86ebca38b8d100397717705e8ac1c817dfc481d,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,1.0,3,1,gated_planar_rotation_embedded,normal,0.0,0.0,rotation_tensor,CERTIFIED_LOWER_BOUND
0f33d71d850403a0bc3725a81729d69850a09dbdc357d0dafc0af111944c82e0,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,1.0,3,2,gated_planar_rotation_embedded,ambient,0.0,0.0,rotation_tensor,CERTIFIED_LOWER_BOUND
0f33d71d850403a0bc3725a81729d69850a09dbdc357d0dafc0af111944c82e0,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,1.0,3,2,gated_planar_rotation_embedded,projected,0.0,0.0,rotation_tensor,CERTIFIED_LOWER_BOUND
0f33d71d850403a0bc3725a81729d69850a09dbdc357d0dafc0af111944c82e0,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,1.0,3,2,gated_planar_rotation_embedded,normal,0.0,0.0,rotation_tensor,CERTIFIED_LOWER_BOUND
